新馬辣,水源市場到師大分部,汀州路三段295號,午餐635晚餐725,$$$$$,台式,鍋物,鍋物,葷,有,50+,"日一二三四五六,0000-0200/1130-2400",mala.png,C
L.A.F burger,水源市場到師大分部,汀州路三段293號2F,200,$$,西式 美式,麵、漢堡,麵食 漢堡,有提供素食,有,35,"一二三四五,1130-1430/1730-2130 六日,1130-2200",burger.png,C H
Bittersweet Bar,水源市場到師大分部,汀州路三段293號,210,$$$,西式 美式,麵、漢堡,麵食 漢堡,葷,有,35,"日一二三四五六,1100-0100",burger.png,C H
李記正客家魷魚羹,水源市場到師大分部,汀州路三段289號,60,$,台式,米粉、麵,麵食,葷,有,10,"日一二三四五六,0650-1930",noodle.png,C H
大埔鐵板燒,水源市場到師大分部,汀州路三段287號,170,$$,台式,飯,米食,葷,有,20,"日一二三四五六,1100-2400",tepanyaki.png,C H
壹森泰食堂,水源市場到師大分部,汀州路三段283號,120,$$,東南亞料理,飯,米食,葷,有,20,"日一二三四五六,1100-2230",southeast.png,C H
順園小館,水源市場到師大分部,汀州路三段281號,200,$$,中式,飯、麵,米食 麵食,葷,有,50+,"一二三四五,1100-1400/1630-2100 六日,1100-1430/1630-2100",ndl2.png,C H
維綸麵食館,水源市場到師大分部,汀州路三段279號,200,$$,中式,飯、麵,米食 麵食,有提供素食,有,50+,"日一二三四五六,1100-1400/1700-2100",ndl2.png,C H
狗一下,水源市場到師大分部,汀州路三段271號,300,$$$,日式,飯、麵、鍋物,米食 麵食 鍋物,葷,有,40,"日一二三四五六,0000-0200/1130-1430/1730-2400",izakaya.png,C
聚英軒,水源市場到師大分部,汀州路三段257號2F,150,$$,台式,麵,麵食,葷,有,50+,"日一二三四五六,1130-2030",ndl2.png,C H
威宇牛排,水源市場到師大分部,汀州路三段257號,270,$$$,台式,牛排、麵,排餐,葷,有,35,"日一二三四五六,1100-2300",steak.png,C H
瑪德蓮小酒館,水源市場到師大分部,汀州路三段192號B1,300-600,$$$ $$$$ $$$$$,西式,飯、麵、牛排,米食 麵食 排餐,有提供素食,有,35,"日一二三四五六,1200-2200",steak.png,H
甘丹鐵板燒,水源市場到師大分部,汀州路三段208號,160,$$,台式,飯,米食,有提供素食,有,25,"一二三四五,1130-1430/1700-2230 六日,1130-2230",tepanyaki.png,C H
三媽臭臭鍋,水源市場到師大分部,汀州路三段206號,130,$$,台式,飯,米食,有提供素食,有,25,"日一二三四五六,1030-1400/1630-2300",hot01.png,C
小飯館兒,水源市場到師大分部,汀州路三段202號,150,$$,韓式,飯、麵、鍋物,米食 麵食 鍋物,葷,有,50+,"一二三四五,1100-1500/1630-2230 六日,1100-2230",korean.png,C
鍋in,水源市場到師大分部,汀州路三段196號,160,$$,台式,飯、麵,米食 麵食,有提供素食,有,50+,"日一二三四五六,1100-2400",hot01.png,C
凰上您好,水源市場到師大分部,汀州路三段174-1號,138,$$,中式,飯,米食,葷,無,0,"日一二三四五六,1000-2230",bento.png,C H
雪鍋168,水源市場到師大分部,汀州路三段168號2F,168,$$,台式 日式,飯,米食,有提供素食,有,50+,"一二三四五,1130-1430/1700-2200 六日,1130-2200",hot01.png,C H
Re: POKE & POT 夏威夷沙拉｜海鮮丼飯,水源市場到師大分部,汀州路三段168號,100-260,$ $$ $$$,韓式,飯、鍋物、烤肉,米食 鍋物 烤物,葷,有,40,"日一二三四五六,1100-2200",korean.png,C H
泰正點泰式料理,水源市場到師大分部,汀州路三段166號,218,$$$,東南亞料理,飯、麵,米食 麵食,葷,有,40,"日一二三四五六,1100-1430/1700-2200",thaicurry.png,C H
Just Curry狂愛咖哩,水源市場到師大分部,汀州路三段164號,148,$$,日式,飯,米食,葷,有,25,"日一二三四五六,1100-2200",curry01.png,C
季丼屋,水源市場到師大分部,羅斯福路四段150號,99,$,日式,飯、麵,米食 麵食,葷,有,30,"日一二三四五六,1130-2045",donburi.png,C H
頂呱呱,水源市場到師大分部,羅斯福路四段134號,149,$$,台式,炸物,炸物,葷,有,30,"日一二三四五六,1100-2200",chicken.png,C H
茗香園冰室,水源市場到師大分部,羅斯福路四段132號2F,170,$$,港式,飯、麵,米食 麵食,葷,有,40,"日一二三四五六,1130-2130",chahan.png,C H
Burgertalks,水源市場到師大分部,羅斯福路四段124號,155,$$,美式 西式,漢堡,漢堡,葷,有,30,"日一二三四五六,1100-2300",burger.png,C H
麥味登,水源市場到師大分部,羅斯福路四段118號,90-160,$ $$,美式 西式 日式,麵、漢堡,麵食 漢堡,葷,有,50+,"日一二三四五六,0700-2100",mwd.png,C H
墨洋拉麵,水源市場到師大分部,羅斯福路四段136巷10號,160-280,$$ $$$,日式,麵,麵食,葷,有,30,"一二三四五,1200-1400/1700-2100 六日,1200-1430/1700-2100",ramen01.png,C
山嵐,水源市場到師大分部,羅斯福路四段136巷1弄13號,270,$$$,日式,麵,麵食,葷,有,15,"日一二三四五六,1130-1430/1715-2045",ramen01.png,C
阿里媽媽,水源市場到師大分部,羅斯福路四段136巷1弄3號,100-140,$ $$,南洋料理,飯、麵,米食 麵食,葷,有,40,"日一二三四五六,1100-1530/1700-2200",thaicurry.png,C H
極麵屋,水源市場到師大分部,羅斯福路四段136巷6弄2號,110-195,$$,日式,飯、麵,米食 麵食,葷,有,30,"一二三四五,1130-1430/1700-2100 六日,1130-1500/1700-2100",ramen01.png,C
京阪豚骨拉麵,水源市場到師大分部,羅斯福路四段136巷6弄6號,90-200,$ $$,日式,飯、麵,米食 麵食,葷,有,35,"一二三四五,1130-1350/1700-2025 六日,1130-1400/1700-2025",ramen01.png,C
公館小吃店,水源市場到師大分部,羅斯福路四段136巷4-1號,30-75,$,台式,飯、麵、米粉、冬粉,米食 麵食,葷,有,20,"日一二三四五六,**",bento.png,C H
The Common,水源市場到師大分部,羅斯福路四段138號3F,130-180,$$,西式,披薩,披薩,葷,有,30,"日一二三四五六,1200-2200",pizza.png,C H
公館蚵仔麵線,水源市場到師大分部,羅斯福路四段136巷,40-60,$,台式,麵線、臭豆腐,麵食 其他,葷,有,20,"日一二三四五六,**",mensen.png,C H
西西里克,水源市場到師大分部,羅斯福路四段138號2F,170-240,$$ $$$,西式,披薩、燒烤、炸物,披薩 烤物 炸物,葷,有,25,"日二三四五六,1100-2200",pizza.png,C H
樂樂韓食,水源市場到師大分部,水源市場59,110,$$,韓式,飯、鍋物,米食 鍋物,葷,有,15,"日一二三四五六,1130-1400/1630-1830",korean.png,C
柯記,水源市場到師大分部,水源市場80,75,$,台式,飯、麵,米食 麵食,葷,有,10,"日一二三四五六,**",noodle.png,C H
咖哩屋,水源市場到師大分部,水源市場98,100,$,日式,飯、麵,米食 麵食,葷,有,10,"日一二三四五六,1100-1400/1600-1830",curry01.png,C
水源食坊,水源市場到師大分部,水源市場73,85,$,台式,飯,米食,葷,有,10,"日一二三四五六,**",bento.png,C H
水源市場美食料理,水源市場到師大分部,水源市場65,80,$,台式,飯、粥,米食,葷,有,15,"日一二三四五六,**",bento.png,C H
龍記,水源市場到師大分部,水源市場32,80-110,$ $$,台式,飯、河粉,米食 麵食,葷,有,10,"日一二三四五六,**",chahan.png,C H
祥記,水源市場到師大分部,水源市場,75-120,$ $$,台式,飯、麵、米粉,米食 麵食,葷,有,30,"日一二三四五六,1100-1500/1700-2000",chahan.png,C H
柯媽的店,水源市場到師大分部,羅斯福路四段136巷,75-90,$,台式,飯、麵、粥、米粉,米食 麵食,有提供素食,有,10,"日一二三四五六,**",bento.png,C H
66屋日式丼飯,水源市場到師大分部,水源市場66,60-130,$ $$,日式,飯、麵,米食 麵食,葷,有,10,"日一二三四五六,**",donburi.png,C H
越南小吃,水源市場到師大分部,水源市場57,85-100,$,東南亞料理,飯、米粉、河粉,米食 麵食,葷,有,10,"日一二三四五六,**",vietnam.png,C H
